n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
10,7,5,9,2,76,2.2006704807281494,617,0.17823553085327148,64,0.5389940738677979
10,8,5,10,2,68,2.267508029937744,624,0.1892719268798828,76,0.7484545707702637
11,1,5,3,2,47,1.0710577964782715,367,0.09591293334960938,51,0.13133811950683594
11,2,5,4,2,57,1.2115614414215088,435,0.12071442604064941,24,0.6035976409912109
11,3,5,5,2,75,1.5876505374908447,681,0.20006132125854492,52,5.429816007614136
11,4,5,6,2,68,1.7459368705749512,748,0.22568702697753906,64,2.524078845977783
11,5,5,7,2,73,1.6923389434814453,962,0.27277278900146484,56,2.742583751678467
11,6,5,8,2,61,1.8252689838409424,615,0.167222261428833,128,1.0747120380401611
11,7,5,9,2,79,2.164645195007324,1020,0.31841588020324707,24,1.347590684890747
11,8,5,10,2,72,2.236680507659912,906,0.2537820339202881,68,0.8779151439666748
12,1,5,3,2,39,0.8740499019622803,298,0.07933306694030762,16,0.28356027603149414
12,2,5,4,2,69,1.3563134670257568,732,0.17506790161132812,62,2.3403539657592773
12,3,5,5,2,69,1.5048789978027344,887,0.22218990325927734,289,7.50192928314209
12,4,5,6,2,59,1.451216697692871,528,0.20222210884094238,31,0.9050858020782471
12,5,5,7,2,85,2.0841102600097656,1301,0.34311962127685547,146,7.584588289260864
12,6,5,8,2,45,1.4609475135803223,290,0.08692550659179688,32,0.3342103958129883
12,7,5,9,2,80,2.425790309906006,818,0.2369680404663086,68,2.3204338550567627
12,8,5,10,2,60,1.9904181957244873,570,0.16498064994812012,82,1.8674850463867188
13,1,5,3,2,39,0.9872777462005615,295,0.08300375938415527,10,0.11980390548706055
13,2,5,4,2,55,1.2144548892974854,539,0.13320517539978027,27,0.7165780067443848
13,3,5,5,2,48,1.2178881168365479,399,0.12151288986206055,13,0.35221242904663086
13,4,5,6,2,48,1.431713342666626,436,0.10835695266723633,58,0.8963639736175537
13,5,5,7,2,66,1.7476191520690918,677,0.20531153678894043,105,2.4663474559783936
13,6,5,8,2,85,2.14274001121521,1003,0.26309943199157715,78,6.059721231460571
13,7,5,9,2,56,1.8460407257080078,407,0.12234854698181152,16,0.406635046005249
13,8,5,10,2,108,3.03997540473938,1984,0.496307373046875,975,46.521803855895996
