n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
30,6,5,10,2,52,1.5505454540252686,554,0.13601326942443848,108,0.6461710929870605
31,1,5,5,2,54,0.99172043800354,475,0.10926198959350586,24,0.14889144897460938
31,2,5,6,2,59,1.139193058013916,685,0.15439581871032715,92,1.2859630584716797
31,3,5,7,2,65,1.371154546737671,768,0.17374444007873535,99,1.5897884368896484
31,4,5,8,2,66,1.5020251274108887,780,0.17774510383605957,219,4.822316884994507
31,5,5,9,2,70,1.6057004928588867,729,0.22635722160339355,42,1.2407314777374268
31,6,5,10,2,79,2.058393955230713,1142,0.2586219310760498,289,4.758540153503418
32,1,5,5,2,41,0.8205246925354004,276,0.07323646545410156,19,0.26844024658203125
32,2,5,6,2,49,0.9956374168395996,419,0.09871196746826172,14,0.40671324729919434
32,3,5,7,2,70,1.5058016777038574,800,0.18571233749389648,116,6.181910276412964
32,4,5,8,2,80,1.6746079921722412,1256,0.30901074409484863,267,22.199947118759155
32,5,5,9,2,62,1.4630303382873535,712,0.17632031440734863,26,0.4189479351043701
32,6,5,10,2,111,2.5416111946105957,1767,0.432342529296875,464,36.296295166015625
33,1,5,5,2,63,1.149228811264038,727,0.16440296173095703,110,1.2381467819213867
33,2,5,6,2,92,1.4507379531860352,1378,0.31320929527282715,453,8.62581753730774
33,3,5,7,2,43,1.0728034973144531,354,0.07591819763183594,20,0.10109591484069824
33,4,5,8,2,50,1.1263866424560547,470,0.1042485237121582,88,0.4014301300048828
33,5,5,9,2,103,3.032522678375244,1326,0.3682372570037842,38,7.289723634719849
33,6,5,10,2,59,1.639646291732788,553,0.15116333961486816,23,0.8503680229187012
34,1,5,5,2,54,1.215062141418457,566,0.12381529808044434,129,2.297013759613037
34,2,5,6,2,56,1.09539794921875,516,0.1798114776611328,34,0.44632720947265625
34,3,5,7,2,58,1.4131865501403809,514,0.11667394638061523,30,1.0556702613830566
34,4,5,8,2,43,1.2431919574737549,328,0.08104133605957031,9,0.13727903366088867
34,5,5,9,2,86,1.8174803256988525,1431,0.3361670970916748,531,17.315444946289062
34,6,5,10,2,68,1.9786696434020996,815,0.1853194236755371,134,2.2731735706329346
35,1,5,5,2,42,0.865145206451416,378,0.09895968437194824,18,0.09351992607116699
