n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
13,3,5,5,2,49,1.189723253250122,432,0.11491513252258301,60,0.5424075126647949
13,4,5,6,2,54,1.40328049659729,423,0.13062047958374023,80,2.0034985542297363
13,5,5,7,2,56,1.514930009841919,537,0.16928935050964355,89,1.048609972000122
13,6,5,8,2,56,1.5941712856292725,499,0.1461493968963623,10,0.49277782440185547
13,7,5,9,2,55,1.5258097648620605,551,0.14751172065734863,52,1.0377535820007324
13,8,5,10,2,71,2.3278112411499023,929,0.32654476165771484,252,2.090749502182007
14,1,5,3,2,33,0.9353370666503906,196,0.0638737678527832,6,0.08218574523925781
14,2,5,4,2,42,1.1042063236236572,315,0.08434629440307617,27,0.4958033561706543
14,3,5,5,2,59,1.3741917610168457,570,0.14157795906066895,37,1.2696030139923096
14,4,5,6,2,54,1.523695707321167,544,0.1370997428894043,68,3.147270441055298
14,5,5,7,2,52,1.4942331314086914,422,0.12244129180908203,40,0.23978090286254883
14,6,5,8,2,60,1.800722360610962,592,0.16014361381530762,59,0.8256161212921143
14,7,5,9,2,76,2.0087873935699463,1038,0.299715518951416,44,5.388587951660156
14,8,5,10,2,65,1.794762372970581,627,0.18619585037231445,16,1.280984878540039
15,1,5,3,2,61,1.1969914436340332,639,0.151170015335083,82,2.468480348587036
15,2,5,4,2,44,1.1161377429962158,340,0.09542131423950195,20,0.09533810615539551
15,3,5,5,2,49,1.2651417255401611,400,0.10707592964172363,10,0.9129786491394043
15,4,5,6,2,105,2.2896721363067627,1182,0.2930583953857422,136,1.4496746063232422
15,5,5,7,2,54,1.495610237121582,516,0.13631224632263184,125,0.3424718379974365
15,6,5,8,2,57,1.6557514667510986,490,0.14653563499450684,51,0.4020047187805176
15,7,5,9,2,83,2.1869874000549316,773,0.20681333541870117,114,8.016803503036499
15,8,5,10,2,56,1.6881070137023926,673,0.18399596214294434,74,0.5815153121948242
16,1,5,3,2,38,0.9076046943664551,269,0.07596230506896973,3,0.08155393600463867
16,2,5,4,2,43,1.0979597568511963,374,0.09702467918395996,15,0.381955623626709
16,3,5,5,2,36,1.125596284866333,236,0.07745933532714844,5,0.10325264930725098
16,4,5,6,2,42,1.1498355865478516,297,0.08815598487854004,10,0.14338350296020508
16,5,5,7,2,52,1.4752607345581055,488,0.12790489196777344,59,1.560838222503662
16,6,5,8,2,52,1.7257120609283447,448,0.13926172256469727,35,1.481480360031128
16,7,5,9,2,58,1.8588168621063232,544,0.16252517700195312,18,0.7993624210357666
16,8,5,10,2,218,5.890259504318237,5590,1.397897720336914,29136,664.8404109477997
17,1,5,3,2,45,1.0024218559265137,319,0.13385987281799316,16,0.0570979118347168
17,2,5,4,2,52,1.2486379146575928,475,0.1240530014038086,121,0.7205016613006592
17,3,5,5,2,65,1.489743709564209,757,0.20366168022155762,75,3.6269800662994385
17,4,5,6,2,53,1.466076135635376,410,0.13044404983520508,24,0.8862912654876709
17,5,5,7,2,46,1.3222451210021973,327,0.10857439041137695,11,0.0648949146270752
17,6,5,8,2,49,1.608621597290039,333,0.10179901123046875,21,0.24748992919921875
17,7,5,9,2,68,1.9779942035675049,713,0.18958520889282227,120,2.768005132675171
17,8,5,10,2,55,1.8457436561584473,475,0.1366415023803711,75,0.45641541481018066
18,1,5,3,2,28,0.7564132213592529,162,0.05201554298400879,9,0.04049491882324219
18,2,5,4,2,37,1.0561108589172363,254,0.07030582427978516,26,0.08422517776489258
18,3,5,5,2,40,1.1221206188201904,245,0.07361674308776855,14,0.3003096580505371
18,4,5,6,2,51,1.3338229656219482,450,0.11369705200195312,93,0.919381856918335
18,5,5,7,2,72,1.6338138580322266,844,0.22400760650634766,116,6.9416234493255615
18,6,5,8,2,76,2.054166078567505,898,0.4026601314544678,49,5.679159164428711
18,7,5,9,2,51,1.8531804084777832,481,0.11815404891967773,54,0.8580005168914795
18,8,5,10,2,110,3.202643632888794,1593,0.41807985305786133,702,27.543054819107056
19,1,5,3,2,34,0.9430298805236816,210,0.066680908203125,5,0.04735732078552246
19,2,5,4,2,51,1.1659765243530273,518,0.13347625732421875,44,1.4159467220306396
19,3,5,5,2,47,1.181623935699463,385,0.11242175102233887,19,0.22301006317138672
19,4,5,6,2,49,1.3561625480651855,458,0.11083197593688965,78,0.7965095043182373
19,5,5,7,2,62,1.6324131488800049,681,0.15669727325439453,308,3.390068292617798
19,6,5,8,2,81,2.1741602420806885,843,0.28821611404418945,30,7.004491806030273
19,7,5,9,2,66,1.9571409225463867,707,0.207275390625,126,1.4060289859771729
19,8,5,10,2,76,2.3553049564361572,925,0.2524900436401367,199,4.289475202560425
20,1,5,3,2,39,0.9689450263977051,293,0.08283042907714844,12,0.2860896587371826
20,2,5,4,2,32,1.0158412456512451,174,0.05346846580505371,5,0.0992136001586914
20,3,5,5,2,66,1.5284676551818848,896,0.22564291954040527,42,1.5641679763793945
20,4,5,6,2,61,1.6118457317352295,605,0.17357659339904785,37,0.7868554592132568
20,5,5,7,2,65,1.7838785648345947,760,0.20577669143676758,61,5.583833694458008
20,6,5,8,2,91,2.2957875728607178,1692,0.4514608383178711,322,60.32691931724548
20,7,5,9,2,63,1.7400825023651123,743,0.23467016220092773,162,4.25290584564209
20,8,5,10,2,110,2.8542587757110596,1718,0.43483424186706543,968,70.01203894615173
21,1,5,3,2,41,1.0360333919525146,313,0.0909719467163086,12,0.11012673377990723
21,2,5,4,2,35,1.0372025966644287,193,0.07122325897216797,3,0.14446210861206055
21,3,5,5,2,51,1.3081741333007812,432,0.12117147445678711,18,0.5157871246337891
21,4,5,6,2,65,1.5265486240386963,816,0.19650912284851074,145,2.108163356781006
21,5,5,7,2,41,1.306520938873291,332,0.09087038040161133,31,0.1969602108001709
21,6,5,8,2,84,2.213261365890503,1004,0.25324153900146484,144,7.684186935424805
21,7,5,9,2,58,1.9847030639648438,518,0.17568254470825195,33,1.0758159160614014
21,8,5,10,2,110,2.912705659866333,1394,0.37275218963623047,286,15.078589916229248
22,1,5,3,2,35,0.8663198947906494,242,0.07116127014160156,8,0.270296573638916
